
These predictions were generated by HydroDyn on 12-Aug-2019 at 11:27:38.




    Time            Wave1Elev              M1N1Vxi              M1N1Vzi              M1N1Axi              M1N1Azi             M1N1FDxi             M1N1FDzi             M1N1FIxi             M1N1FIzi             M1N1FAxi             M1N1FAzi
   (sec)                  (m)                (m/s)                (m/s)              (m/s^2)              (m/s^2)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)
    0.0000           4.0000E+00           1.0891E+00          -4.9434E-01          -3.9391E-01          -5.3957E-01           1.5059E+03          -9.5025E+02          -3.7692E+02           2.3784E+02           0.0000E+00           0.0000E+00
    0.0250           3.9951E+00           1.0779E+00          -5.0717E-01          -4.0413E-01          -5.3405E-01           1.4994E+03          -9.4611E+02          -4.7360E+02           2.9884E+02           0.0000E+00           0.0000E+00
    0.0500           3.9902E+00           1.0668E+00          -5.1999E-01          -4.1435E-01          -5.2852E-01           1.4928E+03          -9.4198E+02          -5.7027E+02           3.5985E+02           0.0000E+00           0.0000E+00
    0.0750           3.9852E+00           1.0556E+00          -5.3282E-01          -4.2457E-01          -5.2300E-01           1.4863E+03          -9.3786E+02          -6.6694E+02           4.2085E+02           0.0000E+00           0.0000E+00
    0.1000           3.9803E+00           1.0445E+00          -5.4564E-01          -4.3479E-01          -5.1748E-01           1.4798E+03          -9.3375E+02          -7.6362E+02           4.8185E+02           0.0000E+00           0.0000E+00
    0.1250           3.9754E+00           1.0333E+00          -5.5847E-01          -4.4501E-01          -5.1195E-01           1.4733E+03          -9.2964E+02          -8.6029E+02           5.4285E+02           0.0000E+00           0.0000E+00
    0.1500           3.9705E+00           1.0222E+00          -5.7129E-01          -4.5522E-01          -5.0643E-01           1.4668E+03          -9.2555E+02          -9.5696E+02           6.0385E+02           0.0000E+00           0.0000E+00
    0.1750           3.9655E+00           1.0110E+00          -5.8412E-01          -4.6544E-01          -5.0091E-01           1.4603E+03          -9.2146E+02          -1.0536E+03           6.6485E+02           0.0000E+00           0.0000E+00
    0.2000           3.9606E+00           9.9988E-01          -5.9694E-01          -4.7566E-01          -4.9538E-01           1.4538E+03          -9.1739E+02          -1.1503E+03           7.2585E+02           0.0000E+00           0.0000E+00
